Name	Home City	Home Country	Latitude	Longitude	Still Going?	Legendary	Albums	Guitars to Synths (1-5)	Artsy to Populist (1-5)	Loudness	Coolness	First Album Release Date	Last album released	New Entry	Any women in the band?
Larrikin Love	London	UK	51.507	-0.128			1	1	3	3	2	25/09/2006	25/09/2006		
The Holloways	London	UK	51.507	-0.128			2	1	4	4	2	30/10/2006	05/10/2009		
The Others	London	UK	51.507	-0.128	checked		3	2	5	3	2	31/01/2005	24/12/2013		
Hadouken!	London	UK	51.507	-0.128			3	4	4	4	2	05/05/2008	18/03/2013		checked
Ted Benson	London	UK	51.507	-0.128	checked		5	1	2	3	3	01/06/1998	01/08/2003		
Biffy Clyro	Fenwick	UK	51.513	-0.145	checked		7	2	3	4	3	10/03/2002	08/07/2016		
The Horrors	Southend-on-Sea	UK	51.546	0.708	checked		5	2	2	3	3	05/03/2007	22/09/2017		
Feeder	Newport	UK	51.584	-2.998	checked		10	2	4	4	2	25/05/1997	07/10/2016		
Foals	Oxford	UK	51.752	-1.258	checked		5	3	2	3	4	24/03/2008	08/03/2019		
Friendly Fires	St Albans	UK	51.753	-0.339	checked		2	4	3	3	4	01/09/2008	16/05/2011		
The Subways	Welwyn Garden City	UK	51.803	-0.209	checked		4	1	4	3	2	04/07/2005	06/02/2015		checked
Editors	Birmingham	UK	52.486	-1.89	checked		6	2	4	3	3	25/07/2005	09/03/2018		
The Streets	Birmingham	UK	52.486	-1.89	checked		5	4	4	4	4	25/03/2002	07/02/2011		
Kasabian	Leicester	UK	52.637	-1.14	checked		6	3	5	4	2	06/09/2004	05/05/2017		
Young Knives	Ashby-de-la-Zouch	UK	52.749	1.469	checked		5	2	3	3	3	21/08/2006	21/04/2013		
Late of the Pier	Derby	UK	52.923	-1.475			1	4	3	4	3	30/07/2008	30/07/2008		
Two Door Cinema Club	Bangor	UK	53.227	-4.129	checked		4	3	4	2	2	01/03/2010	14/06/2019		
The Thrills	Dublin	 Ireland	53.35	-6.26			3	2	4	1	2	27/05/2003	22/07/2007		
The Long Blondes	Sheffield	UK	53.381	-1.47			2	2	2	2	4	06/11/2006	07/04/2008		checked
Arctic Monkeys	Sheffield	UK	53.381	-1.47	checked	checked	6	2	4	3	3	23/01/2006	11/05/2018		
Reverend and the Makers	Sheffield	UK	53.381	-1.47	checked		6	2	5	3	1	17/09/2007	22/09/2017		
Milburn	Sheffield	UK	53.381	-1.47	checked		3	1	4	3	2	09/10/2006	20/09/2017		
Bromheads Jacket 	Sheffield	UK	53.381	-1.47			4	1	3	5	3	13/11/2006	13/05/2013		
Little Man Tate	Sheffield	UK	53.381	-1.47			2	1	5	3	2	22/01/2007	15/09/2008		
The Coral	Liverpool	UK	53.408	-2.992	checked		9	2	3	2	3	29/07/2002	10/08/2018		
The Wombats	Liverpool	UK	53.408	-2.992	checked		5	2	5	4	1	20/09/2006	09/02/2018		
The Zutons	Liverpool	UK	53.408	-2.992			3	2	4	2	2	19/04/2004	02/06/2008		checked
Hot Club de Paris	Liverpool	UK	53.408	-2.992			5	2	2	2	3	09/10/2006	17/01/2011		
The Courteeners	Manchester	UK	53.481	-2.243	checked		5	2	4	3	2	07/04/2008	07/04/2018		
Doves	Manchester	UK	53.481	-2.243	checked		4	3	4	3	3	03/04/2000	15/06/2009		
Starsailor	Wigan	UK	53.545	2.633	checked		6	1	4	2	1	08/10/2001	01/09/2017		
Elbow	Bury	UK	53.593	2.297	checked		7	2	3	3	2	07/05/2001	03/02/2017		
The Cribs	Wakefield	UK	53.683	-1.506	checked		7	3	3	3	3	08/03/2004	11/08/2017		
The Paddingtons	Hull	UK	53.768	0.327	checked		2	1	4	3	3	31/10/2005	03/11/2008		
Kaiser Chiefs	Leeds	UK	53.801	-1.549	checked		6	2	5	4	1	07/03/2005	07/10/2016		
The Pigeon Detectives	Leeds	UK	53.801	-1.549	checked		5	2	5	3	1	28/05/2007	24/02/2017		
The Music	Leeds	UK	53.801	-1.549			3	3	3	3	2	02/07/2002	16/06/2008		
Little Boots	Blackpool	UK	53.818	-3.036	checked		3	4	4	3	2	05/07/2009	10/07/2015		checked
Wild Beasts	Kendal	UK	54.328	-2.746			5	3	3	3	2	16/06/2008	05/08/2016		
Ash	Downpatrick	UK	54.329	-5.716	checked		8	2	4	4	3	24/10/1994	18/05/2018		checked
The Futureheads	Sunderland	UK	54.907	-1.384	checked		5	2	3	3	3	12/07/2004	02/04/2012		
Maximo Park	Newcastle	UK	54.978	-1.618	checked		6	2	4	3	2	16/05/2005	21/04/2017		
Mew	Hellerup	 Denmark	55.737	12.569	checked		7	3	2	4	3	01/04/1997	28/04/2017		
Franz Ferdinand	Glasgow	UK	55.864	-4.252	checked	checked	5	3	2	3	4	09/02/2004	09/02/2018		
Belle & Sebastian	Glasgow	UK	55.864	-4.252	checked	checked	11	2	3	2	3	06/06/1996	16/02/2018		checked
Glasvegas	Glasgow	UK	55.864	-4.252	checked		3	2	2	2	3	08/09/2008	02/09/2013		
The Fratellis	Glasgow	UK	55.864	-4.252	checked		5	1	4	3	3	11/09/2006	16/03/2018		
Idlewild	Edinburgh	UK	55.953	-3.188	checked		9	2	3	3	3	01/01/1998	05/04/2019		
The View 	Dundee	UK	56.462	2.971			7	1	4	3	1	22/01/2007	04/09/2015		
Junior Senior	Thisted	 Denmark	56.959	8.703			2	5	4	2	3	04/03/2002	24/08/2005		
"Peter, Bjšrn and John"	Stockholm	 Sweden	59.329	18.069	checked		8	2	4	1	2	20/11/2002	19/10/2018		
The Hives	Fagersta	 Sweden	59.989	15.817	checked		5	1	3	5	4	22/09/1997	01/06/2012		
