DateOfBite,Species,Breed,Age,Gender,SpayNeuter
February 12 2015,DOG,"Mastiff, Old English",,U,FALSE
February 18 2015,DOG,Yorkshire Terrier,3,M,FALSE
February 17 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,FALSE
February 19 2015,DOG,SPRINGER SPANIEL,7,U,TRUE
February 21 2015,DOG,Pit Bull,,U,FALSE
February 06 2015,DOG,Shiba Inu,3,M,FALSE
February 12 2015,DOG,Pit Bull,,U,FALSE
February 22 2015,DOG,Pit Bull,10,M,TRUE
February 24 2015,DOG,Pit Bull,1,F,FALSE
February 24 2015,DOG,Pit Bull,10,F,TRUE
February 24 2015,DOG,WESTIE,,U,FALSE
February 22 2015,DOG,Pit Bull,,U,FALSE
February 21 2015,DOG,Pit Bull,,U,FALSE
February 26 2015,DOG,Pit Bull,,U,FALSE
February 22 2015,DOG,FOX HOUND,3,F,TRUE
February 23 2015,DOG,Pit Bull,,U,FALSE
February 26 2015,DOG,Pit Bull,1,M,FALSE
February 28 2015,DOG,Weimaraner,1900-01-11T00:00:00.000,M,TRUE
February 26 2015,DOG,German Shepherd,,U,FALSE
February 01 2015,DOG,Rottweiler,,U,FALSE
March 01 2015,DOG,American Pit Bull Mix / Pit Bull Mix,6,F,TRUE
February 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE
February 10 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
March 04 2015,DOG,"Jindo Dog,",,M,TRUE
March 06 2015,DOG,American Pit Bull Mix / Pit Bull Mix,10,F,FALSE
March 07 2015,DOG,"Bull Dog, English",2,M,TRUE
February 27 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,FALSE
March 07 2015,DOG,BULLDOG/SHARPEI,11,M,TRUE
March 08 2015,DOG,Shih Tzu,4,M,FALSE
March 10 2015,DOG,COCKER/CORGI X,,M,FALSE
March 06 2015,DOG,Pit Bull,,U,FALSE
March 12 2015,DOG,Jack Russ,7M,M,FALSE
March 12 2015,DOG,Shih Tzu,,U,FALSE
February 26 2015,DOG,Pit Bull,2,M,FALSE
March 13 2015,DOG,Pug,6,M,TRUE
March 15 2015,DOG,Yorkshire Terrier,4,M,FALSE
March 14 2015,DOG,Chow Chow,3,M,FALSE
March 15 2015,DOG,American Staffordshire Terrier,8,M,TRUE
March 14 2015,DOG,SHEPHERD MIX,5,M,TRUE
March 16 2015,DOG,Maltese,7,M,TRUE
March 18 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,TRUE
March 16 2015,DOG,Yorkshire Terrier,1,M,FALSE
March 14 2015,DOG,Cocker Spaniel,,U,FALSE
March 16 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,TRUE
March 16 2015,DOG,Pit Bull,,F,TRUE
March 17 2015,DOG,"Collie, Border",,U,FALSE
March 09 2015,DOG,Miniature Pinscher,,M,FALSE
March 22 2015,DOG,Shih Tzu,2,M,FALSE
March 21 2015,DOG,Doberman Pinscher,8,F,FALSE
March 22 2015,DOG,Shih Tzu,7,M,TRUE
March 22 2015,DOG,German Shepherd,,U,FALSE
March 21 2015,DOG,"Bull Dog, French",6,M,TRUE
February 02 2015,DOG,Pekingese,4,M,FALSE
March 15 2015,DOG,Chihuahua,6,M,FALSE
March 25 2015,DOG,TERRIER,5,M,FALSE
March 29 2015,DOG,Pit Bull,1,M,FALSE
March 20 2015,DOG,HARRIER/BEAGLE,10 M,M,TRUE
March 27 2015,DOG,TERRIER,,U,FALSE
March 28 2015,DOG,"Dachshund, Long Haired Miniature",4,M,TRUE
March 29 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
March 24 2015,DOG,BOXER X W/ PIT BULL,8,M,TRUE
March 31 2015,DOG,Cocker Spaniel,3,F,FALSE
April 03 2015,DOG,Yorkshire Terrier,6,M,TRUE
April 02 2015,DOG,Chihuahua,,U,FALSE
April 06 2015,DOG,Bull dog,8M,M,FALSE
April 06 2015,DOG,American Staffordshire Terrier,,U,FALSE
April 06 2015,DOG,American Pit Bull Terrier/Pit Bull,4,F,TRUE
March 31 2015,DOG,PITBULL/LAB RETRIEVER,5,F,TRUE
March 27 2015,DOG,BOXER/RHODESIAN RIDGEBACK X,5,F,FALSE
April 06 2015,DOG,Chihuahua Crossbreed,4M,M,FALSE
April 06 2015,DOG,"Poodle, Standard",2,M,FALSE
April 07 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
April 01 2015,DOG,Bull Terrier,1,M,FALSE
April 08 2015,DOG,CATAHOULA LEOPARD DOG,1,M,TRUE
April 06 2015,DOG,Yorkshire Terrier,6,F,FALSE
April 10 2015,DOG,Cocker Spaniel Crossbreed,5,M,TRUE
April 03 2015,DOG,BOXER/HOUND/PITBULL,6,F,TRUE
April 12 2015,DOG,German Shepherd,11,F,TRUE
April 10 2015,DOG,"Bull Dog, English",9M,M,FALSE
April 10 2015,DOG,American Pit Bull Terrier/Pit Bull,6M,M,FALSE
April 12 2015,DOG,Chihuahua,9,F,TRUE
April 13 2015,DOG,Pit Bull,9,M,FALSE
April 13 2015,DOG,Chihuahua,9M,M,FALSE
April 14 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,F,TRUE
April 10 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,TRUE
April 10 2015,DOG,Siberian Husky,,U,FALSE
April 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
April 16 2015,DOG,American Pit Bull Terrier/Pit Bull,1,F,FALSE
April 16 2015,DOG,Rottweiler,1,M,TRUE
April 14 2015,DOG,Beagle Crossbreed,19,M,FALSE
April 18 2015,DOG,AUSTRALIAN CATTLE,,F,FALSE
April 11 2015,DOG,Pit Bull,,U,FALSE
April 15 2015,DOG,Pit Bull,,U,FALSE
April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
April 19 2015,DOG,German Shepherd Crossbreed,15,F,TRUE
April 17 2015,DOG,Border Terrier,3,M,TRUE
April 17 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,FALSE
April 19 2015,DOG,ITALIAN MASTIFF,3,F,FALSE
April 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
April 17 2015,DOG,BEAGLE/JACK RUSS,4,M,TRUE
April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,TRUE
April 22 2015,DOG,Maltese,7,F,TRUE
April 23 2015,DOG,Cane Corso,15,F,FALSE
April 23 2015,DOG,PARSON RUSSELLTERR,2,M,TRUE
April 24 2015,DOG,"Poodle, Standard",,U,FALSE
April 25 2015,DOG,Shih Tzu,5,M,TRUE
April 26 2015,DOG,American Staffordshire Terrier,2,M,FALSE
April 25 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,FALSE
April 25 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,FALSE
May 09 2015,DOG,Siberian Husky,,U,FALSE
April 27 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,FALSE
April 20 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
April 25 2015,DOG,UNKNOWN,,U,FALSE
April 25 2015,DOG,German Shepherd,7,M,TRUE
April 11 2015,DOG,American Pit Bull Terrier/Pit Bull,3,F,TRUE
April 29 2015,DOG,Pug,3,M,TRUE
April 29 2015,DOG,POINTER/BEAGLE X,7,F,FALSE
April 29 2015,DOG,SHIBA INU,5,M,TRUE
April 26 2015,DOG,Chihuahua,2,F,FALSE
April 30 2015,DOG,GERMAN SHEPHERD/RIDGEBACK,5,M,TRUE
May 01 2015,DOG,Bichon Frise,8,M,TRUE
May 01 2015,DOG,STAFFORDSHIRE TERR,7,F,TRUE
April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
May 02 2015,DOG,Chihuahua Crossbreed,,U,FALSE
May 02 2015,DOG,"Collie, Border",14,M,TRUE
May 04 2015,DOG,American Pit Bull Mix / Pit Bull Mix,8M,M,FALSE
May 04 2015,DOG,Belgian Malinois,,U,FALSE
May 01 2015,DOG,Boxer,2,M,TRUE
May 01 2015,DOG,MALTESE - X,3,F,FALSE
May 05 2015,DOG,German Shepherd,,U,FALSE
May 01 2015,DOG,Pit Bull,,U,FALSE
May 06 2015,DOG,"Collie, Smooth Coat",10,F,TRUE
May 06 2015,DOG,CHIHUAHUA/BOSTON TERR X,5,M,TRUE
April 08 2015,DOG,HUSKY/CATTLE DOG MIX,4,M,TRUE
April 08 2015,DOG,HUSKY/CATTLE MIX,4,M,TRUE
May 10 2015,DOG,American Pit Bull Terrier/Pit Bull,13,M,TRUE
May 10 2015,DOG,American Staffordshire Terrier,2,M,FALSE
May 09 2015,DOG,Siberian Husky,14,M,TRUE
May 09 2015,DOG,American Pit Bull Mix / Pit Bull Mix,5,F,TRUE
May 01 2015,DOG,American Staffordshire Terrier,8,M,TRUE
May 03 2015,DOG,American Pit Bull Terrier/Pit Bull,,F,FALSE
May 07 2015,DOG,Australian Shepherd,5,M,TRUE
May 09 2015,DOG,American Pit Bull Terrier/Pit Bull,8,M,TRUE
May 11 2015,DOG,American Pit Bull Terrier/Pit Bull,2,F,FALSE
April 25 2015,DOG,Shih Tzu,4,M,TRUE
May 03 2015,DOG,Pit Bull,,U,FALSE
May 10 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE
May 12 2015,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,TRUE
May 12 2015,DOG,Bloodhound,4,M,TRUE
May 12 2015,DOG,Jack Russ,10,M,TRUE
May 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
May 14 2015,DOG,"Cocker Spaniel, American",10,M,TRUE
May 14 2015,DOG,American Pit Bull Terrier/Pit Bull,6,M,FALSE
May 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
April 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE
May 15 2015,DOG,Cocker Spaniel Crossbreed,,M,FALSE
May 18 2015,DOG,American Staffordshire Terrier,2,M,FALSE
May 18 2015,DOG,American Staffordshire Terrier,2,M,FALSE
January 08 2015,DOG,American Pit Bull Terrier/Pit Bull,1,M,TRUE
May 12 2015,DOG,Cane Corso,5,F,TRUE
May 05 2015,DOG,TERRIER,,U,FALSE
May 16 2015,DOG,BORDER COLLIE/JACK RUSSELL,11M,F,TRUE
May 06 2015,DOG,CORGI,,M,FALSE
May 21 2015,DOG,Shih Tzu,,U,FALSE
May 20 2015,DOG,MUTT,1,F,TRUE
May 24 2015,DOG,MIXED,2,M,TRUE
May 24 2015,DOG,PIT BULL/LAB X,2,F,FALSE
May 24 2015,DOG,PIT BULL/LAB X,2,F,FALSE
May 24 2015,DOG,Labrador Retriever,,U,FALSE
May 25 2015,DOG,Labrador Retriever,3,F,FALSE
May 25 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
May 23 2015,DOG,"Mastiff, Tibetan",1,M,TRUE
May 23 2015,DOG,MALTESE MIX,4,M,TRUE
May 24 2015,DOG,SCHNAUZER,,M,FALSE
May 28 2015,DOG,Pit Bull,,U,FALSE
May 24 2015,DOG,Pit Bull,,U,FALSE
May 23 2015,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,TRUE
May 28 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
May 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE
May 26 2015,DOG,Saint Bernard,,U,FALSE
May 28 2015,DOG,Chihuahua,,U,FALSE
May 30 2015,DOG,West High White Terrier,4,M,FALSE
May 30 2015,DOG,West High White Terrier,4,M,FALSE
May 31 2015,DOG,Chihuahua,1,M,FALSE
May 30 2015,DOG,"Collie, Border",,U,FALSE
May 29 2015,DOG,Labrador Retriever Crossbreed,8,F,TRUE
May 31 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 01 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 02 2015,DOG,Chow Chow,1,M,FALSE
June 02 2015,DOG,Doberman Pinscher,7,M,TRUE
June 01 2015,DOG,Yorkshire Terrier,2,M,FALSE
May 27 2015,DOG,TEACUP YORKIE,,U,FALSE
June 03 2015,DOG,SHORKY,8,M,TRUE
May 31 2015,DOG,HAVANESE X,4,M,TRUE
May 27 2015,DOG,BLUE HEELER X,9,M,TRUE
June 04 2015,DOG,Pit Bull,3,F,TRUE
June 04 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,FALSE
June 04 2015,DOG,Yorkshire Terrier,2,M,TRUE
June 06 2015,DOG,Pit Bull,,U,FALSE
June 06 2015,DOG,Chow Chow,4,M,FALSE
June 05 2015,DOG,Lhasa Apso,5,M,TRUE
June 06 2015,DOG,"Poodle, Standard",3,M,TRUE
June 07 2015,DOG,"Pointer, German Shorthaired",8,F,TRUE
May 30 2015,DOG,SCHNOODLE,,U,FALSE
May 30 2015,DOG,Chow Chow,2,M,FALSE
June 05 2015,DOG,Yorkshire Terrier,,U,FALSE
June 10 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 09 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 10 2015,DOG,Cane Corso,2,M,FALSE
June 09 2015,DOG,ENGLISH SETTER,6,M,FALSE
June 09 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,F,FALSE
June 09 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 12 2015,DOG,Maltese,,U,FALSE
June 14 2015,DOG,TERRIER MIX,6,M,TRUE
June 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 13 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 14 2015,DOG,Jack Russ,3,F,TRUE
June 12 2015,DOG,Jack Russ,2,M,TRUE
June 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 16 2015,DOG,DOBERMAN X,1,F,FALSE
June 14 2015,DOG,American Eskimo,5,M,TRUE
June 19 2015,DOG,American Staffordshire Terrier,7,F,TRUE
June 18 2015,DOG,BOSTON TERR/BOXER X,,U,FALSE
June 07 2015,DOG,Chihuahua,3,M,TRUE
June 22 2015,DOG,Golden Retriever,12,F,TRUE
June 22 2015,DOG,MALTESE/CHIHUAHUA X,1,M,FALSE
June 21 2015,DOG,Chihuahua,,U,FALSE
June 19 2015,DOG,Pit Bull,5,M,TRUE
June 19 2015,DOG,Pit Bull,,U,FALSE
June 18 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,TRUE
June 22 2015,DOG,Maltese,7,F,TRUE
June 21 2015,DOG,Jack Russ,12,F,TRUE
June 23 2015,DOG,American Pit Bull Terrier/Pit Bull,1,M,FALSE
June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,M,FALSE
June 26 2015,DOG,UNKNOWN,,U,FALSE
June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 25 2015,DOG,American Staffordshire Terrier,3,M,FALSE
June 28 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,FALSE
June 26 2015,DOG,Maltese,1,M,FALSE
June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 21 2015,DOG,Pit Bull,,U,FALSE
June 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
June 21 2015,DOG,Mixed/Other,2,M,FALSE
July 01 2015,DOG,Vizsla,4,M,TRUE
June 29 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
July 02 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
March 17 2015,DOG,Jack Russ,10,M,FALSE
July 02 2015,DOG,Golden Retriever,,U,FALSE
July 05 2015,DOG,Pit Bull,,U,FALSE
June 13 2015,DOG,HUSKY/LAB X,8,F,TRUE
June 22 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
July 04 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,FALSE
July 02 2015,DOG,Chihuahua,3,M,FALSE
July 03 2015,DOG,CHOW CHOW/SHEPARD X,12,M,FALSE
July 04 2015,DOG,Yorkshire Terrier,,U,FALSE
July 04 2015,DOG,MALTIPOO,6,M,TRUE
June 29 2015,DOG,BORDER COLLIE/POINTER X,6,M,TRUE
July 08 2015,DOG,ENG SETTER,6,M,FALSE
July 07 2015,DOG,MIXED,,U,FALSE
July 05 2015,DOG,Wire Fox Terrier,8,M,TRUE
July 12 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE
July 14 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE
July 13 2015,DOG,Chihuahua,,U,FALSE
July 06 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
July 06 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
July 04 2015,DOG,Jack Russ,1,M,TRUE
July 14 2015,DOG,German Shepherd,,U,FALSE
July 11 2015,DOG,Siberian Husky,,U,FALSE
July 13 2015,DOG,German Shepherd,,U,FALSE
July 10 2015,DOG,Golden Retriever,5,M,TRUE
July 10 2015,DOG,German Shepherd Crossbreed,6,M,FALSE
July 06 2015,DOG,Yorkshire Terrier,6,F,FALSE
July 01 2015,DOG,German Shepherd,6,M,FALSE
July 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
July 12 2015,DOG,JACK RUSSELL X,10M,M,FALSE
July 13 2015,DOG,Yorkshire Terrier,,U,FALSE
July 11 2015,DOG,Bull dog,,U,FALSE
July 08 2015,DOG,POODLE/CHIHUAHUA X,2,M,FALSE
July 15 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
July 16 2015,DOG,Pit Bull,2,F,FALSE
July 17 2015,DOG,Basset Hound,3,M,TRUE
July 15 2015,DOG,German Shepherd,8,F,FALSE
July 16 2015,DOG,Shiba Inu,1,M,TRUE
July 21 2015,DOG,Shih Tzu,,U,FALSE
July 19 2015,DOG,Pit Bull,,U,FALSE
July 21 2015,DOG,Cocker Spaniel,13,M,TRUE
July 22 2015,DOG,Pit Bull,11M,F,FALSE
July 19 2015,DOG,Pit Bull,4,M,TRUE
July 19 2015,DOG,Bull Terrier,2,M,FALSE
July 18 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,FALSE
July 21 2015,DOG,Mixed/Other,,U,FALSE
July 22 2015,DOG,LABRADOR/PIT BULL X,,U,FALSE
July 15 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
July 22 2015,DOG,Belgian Malinois,1,M,FALSE
July 22 2015,DOG,PIT BULL/BOXER X,2,M,TRUE
July 22 2015,DOG,PIT BULL/BULL DOG,2,M,TRUE
July 22 2015,DOG,American Pit Bull Terrier/Pit Bull,6,F,FALSE
July 22 2015,DOG,Yorkshire Terrier,6,M,TRUE
July 25 2015,DOG,Maltese,1,M,FALSE
July 25 2015,DOG,Shiba Inu,1,M,TRUE
July 28 2015,DOG,RED-NOSE PIT BULL,9,M,TRUE
July 29 2015,DOG,Doberman Pinscher,9,F,FALSE
June 22 2015,DOG,Maltese,7,F,FALSE
July 29 2015,DOG,MUTT,2,M,TRUE
July 28 2015,DOG,Pit Bull,,U,FALSE
July 29 2015,DOG,Shih Tzu,5,F,FALSE
July 31 2015,DOG,Labrador Retriever,10,M,TRUE
August 02 2015,DOG,"Bull Dog, English",9,M,TRUE
July 27 2015,DOG,Labrador Retriever Crossbreed,7,U,FALSE
July 30 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
August 02 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,FALSE
July 31 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,FALSE
August 04 2015,DOG,Chihuahua,,U,FALSE
August 03 2015,DOG,WHIPPET X,6,F,TRUE
July 25 2015,DOG,Chihuahua,3,M,FALSE
July 31 2015,DOG,Maltese,,M,TRUE
August 02 2015,DOG,Maltese,,M,TRUE
August 03 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
August 05 2015,DOG,Bull dog,,U,FALSE
August 02 2015,DOG,American Pit Bull Terrier/Pit Bull,,F,FALSE
August 04 2015,DOG,Alaskan Klee Kai,1,M,TRUE
August 05 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
August 05 2015,DOG,Yorkshire Terrier,3,M,TRUE
August 06 2015,DOG,Jack Russ,7,M,TRUE
August 07 2015,DOG,American Pit Bull Terrier/Pit Bull,1,F,FALSE
July 29 2015,DOG,Boxer,,U,FALSE
July 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,TRUE
July 31 2015,DOG,Shih Tzu,,U,FALSE
August 10 2015,DOG,Shih Tzu,4,F,FALSE
August 07 2015,DOG,Jack Russ,3,M,FALSE
August 02 2015,DOG,Doberman Pinscher,5m,M,FALSE
August 07 2015,DOG,AUST CATTLE DOG,1,M,FALSE
August 04 2015,DOG,Labrador Retriever Crossbreed,,U,FALSE
August 11 2015,DOG,"Bull Dog, French",8,M,TRUE
August 11 2015,DOG,Yorkshire Terrier,1,F,FALSE
August 11 2015,DOG,AMER STAFFORDSHIRE X,6,F,TRUE
August 11 2015,DOG,Shih Tzu,,U,FALSE
August 08 2015,DOG,Akita,,U,FALSE
August 08 2015,DOG,Akita,3,M,FALSE
August 14 2015,DOG,JACK RUSSELL/ CHIHUAHUA,4,M,FALSE
August 06 2015,DOG,Shih Tzu,4,M,FALSE
July 28 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
August 15 2015,DOG,American Staffordshire Terrier,10,M,FALSE
August 16 2015,DOG,Labrador Retriever Crossbreed,2,F,TRUE
August 14 2015,DOG,Rottweiler,,U,FALSE
August 16 2015,DOG,German Shepherd,3,M,TRUE
August 15 2015,DOG,"Poodle, Standard",,U,FALSE
August 16 2015,DOG,Yorkshire Terrier,14,M,TRUE
August 19 2015,DOG,Jack Russ,7,F,TRUE
August 19 2015,DOG,American Staffordshire Terrier,5,M,TRUE
August 17 2015,DOG,Chihuahua,8,M,TRUE
August 21 2015,DOG,Pit Bull,6,F,TRUE
August 09 2015,DOG,Bull dog,3,M,FALSE
August 21 2015,DOG,Cane Corso,2,M,FALSE
August 23 2015,DOG,American Pit Bull Terrier/Pit Bull,1,F,FALSE
August 18 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
January 01 2018,DOG,UNKNOWN,,U,FALSE
August 23 2015,DOG,Labrador Retriever,,U,FALSE
August 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
August 11 2015,DOG,Labrador Retriever,5,M,TRUE
August 19 2015,DOG,"Poodle, Miniature",2,M,FALSE
August 13 2015,DOG,American Pit Bull Terrier/Pit Bull,7,F,FALSE
August 26 2015,DOG,POODLE/BOXER X,1,M,TRUE
August 26 2015,DOG,Wire Fox Terrier,,U,FALSE
August 27 2015,DOG,Shih Tzu,8,M,FALSE
August 11 2015,DOG,Jack Russ,2,M,TRUE
August 27 2015,DOG,YORKSHIRE TER/SHIHTZU,3,M,TRUE
August 10 2015,DOG,Labrador Retriever Crossbreed,3,F,TRUE
August 10 2015,DOG,Rottweiler,8M,F,FALSE
August 27 2015,DOG,Shiba Inu,6,F,TRUE
August 27 2015,DOG,Chihuahua,3,M,TRUE
August 29 2015,DOG,Brittany Spaniel,3,M,FALSE
August 30 2015,DOG,Yorkshire Terrier,7,F,TRUE
August 28 2015,DOG,Pit Bull,3,F,TRUE
August 31 2015,DOG,AMERICAN TERRIER,,U,FALSE
September 01 2015,DOG,BLUE HEELER/ AUSTRALIAN CATTLE MIX,5,F,TRUE
September 01 2015,DOG,Labrador Retriever,3,M,TRUE
August 20 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
September 01 2015,DOG,Shiba Inu,3,M,TRUE
September 04 2015,DOG,DASCHOUND,,U,FALSE
September 08 2015,DOG,MINIATURE SCHNAUZER,3,F,FALSE
September 05 2015,DOG,American Pit Bull Mix / Pit Bull Mix,8,F,TRUE
September 07 2015,DOG,Pit Bull,,U,FALSE
September 03 2015,DOG,"Poodle, Standard",,U,FALSE
September 03 2015,DOG,Pit Bull,,U,FALSE
September 08 2015,DOG,Pit Bull,,U,FALSE
September 03 2015,DOG,Shih Tzu,3,M,FALSE
September 05 2015,DOG,Beagle,,U,FALSE
September 06 2015,DOG,American Pit Bull Terrier/Pit Bull,8,F,TRUE
September 09 2015,DOG,Labrador Retriever Crossbreed,1,M,TRUE
September 08 2015,DOG,Chihuahua,,U,FALSE
September 10 2015,DOG,YORKIPOO,2,M,FALSE
September 12 2015,DOG,Dachshund Smooth Coat,,U,FALSE
September 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
September 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,FALSE
September 14 2015,DOG,American Pit Bull Terrier/Pit Bull,14M,M,FALSE
September 14 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,FALSE
September 13 2015,DOG,Chihuahua,3,M,TRUE
September 12 2015,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE
September 11 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,FALSE
September 15 2015,DOG,CORGI/CHIHUAHUA X,1,M,TRUE
September 16 2015,DOG,Shih Tzu,,U,FALSE
September 13 2015,DOG,YORKIE/SHIH TZU,3,M,TRUE
September 16 2015,DOG,German Shepherd Crossbreed,15,F,TRUE
August 28 2015,DOG,"Poodle, Standard",,U,FALSE
September 16 2015,DOG,Labrador Retriever,7,F,FALSE
September 03 2015,DOG,Chihuahua,,U,FALSE
September 20 2015,DOG,German Shepherd,1,F,FALSE
September 20 2015,DOG,"Bull Dog, English",7,M,TRUE
