ContractID,ServiceContractReference,ContractName,Counterparties,ContractValue,DateOfAward,StartDate,EndDate,MaximumExtensionMonths
000-RQKY2338,17901,Ellon Primary School - Kitchen Provision,Burns Construction (Aberdeen) Ltd,638685.66,09/05/2019,09/05/2019,09/10/2019,0
000-YLNK6327,AUG361872,T-SA299L20 (camphill),Watermill Coaches Ltd,856,08/08/2019,14/08/2019,11/10/2019,24
000-DAPT9465,AUG361872,T-SA299J20 (camphill),Kp Taxis,6241.5,08/08/2019,13/08/2019,11/10/2019,24
000-TGQK7563,AUG362073,T-SA688Y20 (St Andrews ASN School),Alpha Taxis,3000,15/08/2019,21/08/2019,11/10/2019,24
000-HWKL7373,AUG362723,T-NA706L20 (Meldrum Academy),Alpha Taxis,2750,15/08/2109,21/08/2019,11/10/2019,24
000-RBYV5585,AUG362073,T-SA688X20 (St Andrews ASN School),Watermill Coaches Ltd,8350,14/08/2019,21/08/2019,11/10/2019,24
000-XWHW3414,AUG362723,T-NA567P20 (Mintlaw Academy),Watermill Coaches Ltd,2850,14/08/2019,21/08/2019,11/10/2019,24
000-ULJD7688,AUG362723,T-NA567N20 (Mintlaw Academy),Watermill Coaches Ltd,4850,14/08/2019,21/08/2019,11/10/2019,24
000-MMRE9781,AUG362073,T-NA611A20 (Balmedie Primary),Watermill Coaches,4850,14/08/2019,21/08/2019,11/10/2019,24
000-DCGW8712,AUG362073,T-SA866D20 (Portlethen to Stonehaven Leisure Centre),Dash Cabs Contracts Ltd,350,14/08/2019,22/08/2019,11/10/2019,24
000-MYAK1661,AUG362073,T-SA071K20 (Kemnay Academy),Central Taxis (Abdn) Ltd,1250,14/08/2019,21/08/2019,11/10/2019,24
000-XTNV6873,AUG362073,T-NA567O20 (Mintlaw Academy),Kininmonth Cabs,240,14/08/2019,21/08/2019,11/10/2019,24
000-MEJE3951,(blank),Visible Learning - Pupil Equity Fund,Osiris,267930,16/10/2017,16/10/2017,15/10/2019,12
000-PECY2952,AUG362129,ST-SWN250,Watermill Coaches Ltd,1034,08/08/2019,13/08/2019,19/10/2019,12
000-RTVX7526,18185/3,Portlethen Primary School - Nursery Alterations,Bancon Construction Limited,587182.15,22/05/2019,21/05/2019,21/10/2019,0
000-ANUJ9176,(blank),Rescue Assist (LogMeIn),Logmein Technologies UK Limited,510,24/10/2018,24/10/2018,24/10/2019,0
000-WFVM3821,18333,Gordon Primary - FRA Works,R Davidson Joiner & Builder,43911,07/08/2019,11/10/2019,25/10/2019,0
000-MPJB6487,JUN357031,ST-SWN302 (Various Westhill Area),Elmbank Taxis,2580,19/06/2019,24/06/2019,26/10/2019,24
000-DAEM8346,JUL358879,ST-SWN249 (Various Inverurie Area),Alpha Taxis (Inverurie) Ltd.,4065,09/07/2019,15/07/2019,26/10/2019,24
000-AHYJ3874,AUG362129,ST-SWS306,Bains Chauffeur Drive,2541,08/08/2019,12/08/2019,26/10/2019,12
000-LDFE9878,JUL361076,ST-SWS303,Kp Taxis,4675,09/08/2019,26/10/2019,26/10/2019,12
000-EKLD3417,JUL361076,ST-SWS304,Central Taxis (North East) Ltd,2750,09/08/2019,13/08/2019,26/10/2019,12
000-YNNT8278,JUL361076,ST-SWS305,Alpha Taxis (Inverurie) Ltd.,576,09/08/2019,26/10/2019,26/10/2019,12
000-EMTV4637,MAY654208,st-sws297,Central Taxis (Aberdeen) Limited  `,4488,24/05/2019,27/05/2019,26/10/2019,12
000-LUXH5842,JUN357225,ST-SWS296,Premier Coaches (Kintore) Limited,3072,27/06/2019,01/07/2019,26/10/2019,12
000-WWFN3946,(blank),SWN207,Central Taxis (North-East) Limited,11220,30/10/2017,30/10/2017,26/10/2019,0
000-FVRT7538,(blank),SWN207,Central Taxis (North-East) Limited,11220,30/10/2017,30/10/2017,26/10/2019,0
000-EXMV5751,(blank),SWN217,Central Taxis (North-East) Limited,26000,30/10/2017,30/10/2017,26/10/2019,0
000-UTCF9142,(blank),SWN203,Central Taxis (North-East) Limited,20280,30/10/2017,30/10/2017,26/10/2019,0
000-BQRU2889,(blank),SWN210,Central Taxis (North-East) Limited,6240,30/10/2018,30/10/2018,26/10/2019,0
000-EYEG9139,(blank),SWN201,Central Taxis (North-East) Limited,2600,30/10/2017,30/10/2017,26/10/2019,0
000-CGNY6954,(blank),SWN216,Central Taxis (North-East) Limited,5200,30/10/2017,30/10/2017,26/10/2019,0
000-YCHA6751,(blank),SWN208,AA Taxis Portsoy Limited,4160,30/10/2017,30/10/2017,26/10/2019,0
000-NGWR6943,(blank),SWN218,AA Taxis Portsoy Limited,9984,30/10/2017,30/10/2017,26/10/2019,0
000-HMTK6479,(blank),SWN220,Bains Chauffeur Drive,4680,30/10/2017,30/10/2017,26/10/2019,0
000-GAEU5458,(blank),SWN219,Bains Chauffeur Drive,2600,30/10/2017,30/10/2017,26/10/2019,0
000-JFGL2668,(blank),SWN213,JJs Taxis Macduff,21886.8,30/10/2017,30/10/2017,26/10/2019,0
000-QVJB3722,(blank),SWN215,JJs Taxis Macduff,5574.4,30/10/2017,30/10/2017,26/10/2019,0
000-QBBH6583,(blank),SWS217,AJS Contract Cars  Ltd,5197.92,30/10/2017,30/10/2017,26/10/2019,0
000-MTCV9895,(blank),SWS220,AJS Contract Cars  Ltd,7277.92,30/10/2017,30/10/2017,26/10/2019,0
000-CNMH2276,(blank),SWS209,AJS Contract Cars  Ltd,33271.68,30/10/2017,30/10/2017,26/10/2019,0
000-UTFD3977,(blank),SWS202 - Stonehaven Community Centre,E&H Taxis,5261.36,30/10/2017,30/10/2017,26/10/2019,0
000-HQJR2799,(blank),SWS240 - Invercarron,E&H Taxis,2118.48,30/10/2017,30/10/2017,26/10/2019,0
000-UEVX5873,(blank),SWS211 - Cairnlee,A&I Taxis Limited,25979.2,30/10/2017,30/10/2017,26/10/2019,0
000-DCYG7949,(blank),SWS203 - Clashfarquhar,A&I Coaches,24704.16,30/10/2017,30/10/2017,26/10/2019,0
000-GNEJ5747,(blank),SWS205 - Clashfarquhar,A&I Coaches,9984,30/10/2017,30/10/2017,26/10/2019,0
000-UTQT1549,(blank),SWS208 - Beannacher,A&I Coaches,23649.6,30/10/2017,30/10/2017,26/10/2019,0
000-XUKX8184,(blank),SWS210 - Easter Anguston Farm,A&I Coaches,21453.12,30/10/2017,30/10/2017,26/10/2019,0
000-DDXB2355,(blank),SWS235 - Flycup/Inspire,Garioch Taxis,18772,30/10/2017,30/10/2017,26/10/2019,0
000-PXNM8754,(blank),SWS243 - Westhill Community Church,Garioch Taxis,7665.84,30/10/2017,30/10/2017,26/10/2019,0
000-DEBE9842,(blank),SWS200 -  Forestview,Mojo's Taxis,19760,30/10/2017,30/10/2017,26/10/2019,0
000-PHPQ7452,(blank),SWS206 - Forrestview,Mojo's Taxis,21840,30/10/2017,30/10/2017,26/10/2019,0
000-NFMK9431,(blank),SWS282 (Miltown),Alpha Taxis (Inverurie) Ltd.,6364,20/12/2018,03/01/2019,26/10/2019,12
000-AQUM6684,Jun321153,SWS281 (Clashfarquhar),Kenny's Taxis,1176,20/12/2018,03/01/2019,26/10/2019,12
000-KXXB6163,Jun321153,SWS284 (Pitscurry),Alpha Taxis (Inverurie) Ltd.,588,20/12/2018,03/01/2019,26/10/2019,12
000-JGMX6416,Jun321153,SWS239 (Benchmark Resource Centre),Elmbank Taxis,2156,20/12/2019,03/01/2019,26/10/2019,12
000-DDCR9119,Jun321153,SWN240 (Jarvis Court),Kininmonth Cabs,1960,20/12/2018,03/01/2019,26/10/2019,12
000-UKUP6724,SWS285,SWS285,Kenny's Taxis,2640,21/03/2019,01/04/2019,26/10/2019,0
000-KDQK5638,SWS288,SWS288,Central Central Taxis (Aberdeen) Limited,2100,21/03/2019,01/04/2019,26/10/2019,0
000-AUAV2368,SWN243,SWN243,Central Taxis (North East) Limited,2640,21/03/2019,01/04/2019,26/10/2019,0
000-MPAW1954,MAR347785,ST-SWS291 (Inspire Soaps),Alpha Taxis (Inverurie) Ltd.,1824,13/03/2019,19/03/2019,26/10/2019,12
000-JKQK3455,MAY355451,ST-SWN248 (Wood Recylability),Terion Taxis,2800,06/06/2019,10/06/2019,26/10/2019,12
000-NCYH8734,MAY354914,ST-SWS299,L&B Taxis,5040,29/05/2019,03/06/2019,26/10/2019,12
000-HJTW6178,MAY355445,ST-SWS300,Alpha Taxis,720,06/06/2019,11/06/2019,26/10/2019,12
000-QNHM6375,MAY354914,ST-SWS298,Alpha Taxis,2688,29/05/2019,03/06/2019,26/10/2019,12
000-XRLV4811,MAY353636,ST-SWN247,JJs Taxis Macduff,1235.1,15/05/2019,22/05/2019,26/10/2019,12
000-FVWY3354,(blank),Swimming Pool Chemicals,Brenntag,96000,11/10/2018,01/11/2018,31/10/2019,12
000-QXDR5774,20078935,Tranman,Civica UK Limited,14866.62,01/11/2015,01/11/2015,31/10/2019,12
000-EEVC3662,SP-15-016,IT Consumables - Scottish Procurement Framework SP-15-016 Call-off,Banner Group Ltd,102846.06,01/11/2016,01/11/2016,31/10/2019,12
000-YNKG6166,000-YNKG6166,Design and Print of Walking & Cycling Maps,Oxford Cartographers,20000,10/11/2016,10/11/2016,10/11/2019,0
000-VTLG6392,10960007,UKPMS,WDM,16000,11/11/2016,11/11/2016,11/11/2019,0
000-GNLQ5341,10002415,CIPFA Asset Manager,CIPFA,0,11/11/2016,11/11/2016,11/11/2019,0
000-UGAR8281,17606,MACRAE HOUSE TYPES (17606),Insulated Render Systems (scotland) Ltd,3223334.08,26/04/2019,26/04/2019,15/11/2019,0
000-REUE4497,(blank),Spydus Library Management System,"Civica UK Limited,Scottish Consortium of Public Libraries",30269,19/11/2018,19/11/2018,18/11/2019,12
000-WQGY1561,(blank),Link-ABNWHH-STNVWM-NEOS-J34492,Neos Networks Limited aka SSE Enterprise Telecoms,160090,25/11/2008,25/11/2008,24/11/2019,0
000-FEHG6737,18389,Udny School - Electrical & Toilet Upgrade,EDS Ltd,238831.66,10/07/2019,15/07/2019,29/11/2019,0
000-NJNH3952,18348/1,Peterhead Buchan House - Extension,Robertson Construction Eastern Limited,80945.5,20/12/2018,20/12/2018,29/11/2019,0
000-QXQV3155,20104455,Corporate Arrears Recovery System (CARS),Merchant Software Limited,27000,01/12/2015,01/12/2015,30/11/2019,12
000-UWFW7984,(blank),IHS Markit - Info4localgov Portal subscription for 1 year,IHS Global Limited,40855.06,09/11/2018,01/12/2018,30/11/2019,0
000-KQAP2972,(blank),Consultancy Services,Cube Ultra,125000,20/11/2017,01/12/2017,30/11/2019,0
000-GPHE3635,(blank),Consultancy Services,Hill Dickenson LLP,48000,14/03/2019,14/03/2019,30/11/2019,0
000-RYHD6877,(blank),Servicing of Mobile and Static Waste and Recycling Compactor Units,R & G Ironside,13490,30/11/2018,26/11/2018,02/12/2019,0
000-TCRF1388,18205,"Deveron Building, Huntly Gordons School - Demolition",Chris Wright & Sons Ltd,59600,05/02/2019,27/05/2019,20/12/2019,0
000-HXVW2581,MA 06 6163,Macduff Harbour Dive Survey 2016-2019,Arch Henderson LLP,15000,22/07/2016,22/07/2016,31/12/2019,0
000-YTTL8778,Timemaster ref.no 18049,"Completion of Saltoun Square, Fraserburgh",Moxon Ltd,55351.4,01/04/2019,01/04/2019,31/12/2019,3
000-LAUF9535,Timemaster no.18049,"Completion of Saltoun Square, Fraserburgh",David Narro Associates Ltd.,16225,01/04/2019,01/04/2019,31/12/2019,3
000-DTFX4347,1002/ACE/301,"Lot 1 & 2 - Framework Agreement for E-Books, E-Audio Books",Bibliotheca Limited,0,(blank),01/01/2017,31/12/2019,(blank)
000-FVPE3142,1002/ACE/301,"Lot 1 & 2 - Framework Agreement for E-Books, E-Audio Books",Bolinda UK,0,(blank),01/01/2017,31/12/2019,(blank)
000-REEU3684,1002/ACE/301,"Lot 1 & 2 - Framework Agreement for E-Books, E-Audio Books",Overdrive Inc,0,(blank),01/01/2017,31/12/2019,(blank)
000-XTEG6738,1002/ACE/301,Lot 1 - Framework Agreement for E-Books,Wheelers Book Club Limited,0,(blank),01/01/2017,31/12/2019,(blank)
000-GAGH4219,1002/ACE/301,Lot 3 - Framework Agreement for E-Magazines,Ulverscroft Large Print Books Ltd,0,(blank),01/01/2017,31/12/2019,(blank)
000-RBPE4828,1002/ACE/301,Lot 3 - Framework Agreement for E-Magazines,W.F. Howes Limited,0,(blank),01/01/2017,31/12/2019,(blank)
000-RMDD6436,1002/ACE/301,Lot 4 - Framework Agreement for E-Music,Library Ideas LLC,0,(blank),01/01/2017,31/12/2019,(blank)
000-LYBY8123,000-FJDQ1591,Employee Assistance Service,Theraputic Counselling Services,195000,01/01/2017,01/01/2017,31/12/2019,24
000-MPJR5779,000-MPJR5779,Food & Drink Innovation Awards March 2017 - AV Presentation,AVC Media,38460,01/01/2017,01/01/2017,31/12/2019,0
000-YYPG7264,20103272,Elector8,Democracy Counts,12500,29/09/2016,(blank),31/12/2019,12
000-TEPR8217,20103272,ElectorScan,Democracy Counts,16175,29/09/2016,01/01/2010,31/12/2019,12
000-DWMA4744,18179,Macduff Ind Estate - Fire Damage Repairs,Morrison Construction Scotland,410984.32,23/05/2019,02/09/2019,10/01/2020,0
000-QKKF4719,18135/3,"Fraserburgh Academy - Alterations to HE, Art, Drama and other areas",Bancon Construction Limited,1514422.64,02/07/2019,02/07/2019,17/01/2020,0
000-CFLY6928,751/ASF/405,Confidential Waste,Shred-it Limited,200000,01/05/2014,01/05/2014,31/01/2020,0
000-PUFG7736,n/a,Street Lighting Electrical Testing Works 2019-20- Aberdeenshire Council,A&R Services,45000,10/07/2019,15/07/2019,31/01/2020,0
000-LPFM6823,617,"Supply & Delivery of Library Books, Educational Textbooks & Multimedia Supplies - SXL Framework 0617 Call-off","Askews and Holts Library Svces Ltd,Bertram Books,Blackwell UK Ltd,Books Asia,Bright Red Publishing Ltd,Browns Books,CHANGEOVER,GLOWWORM BOOKS AND GIFTS LTD,Harper Collins Publishers Limited,HODDER GIBSON,John Smith & Son Group Ltd,Kelvin Books Ltd,Library Magna Books Ltd,Oxford University Press,Pearson Education Limited,Peters Bookselling Services,Prim-Ed Publishing Limited,Scholastic Ltd,Scotia & Chameleon Books Ltd,Star Books,Trans Uk Supplies Limited,Ulverscroft Large Print Books,Waterstones Booksellers Ltd T/A Waterstones",1800000,01/02/2018,01/02/2018,31/01/2020,24
000-JQLA8647,(blank),Ski Trip P6/7 - Slains/Arnage/Tipperty/Foveran School,Abernethy Trust,12800,29/03/2019,29/03/2019,07/02/2020,0
000-THRJ7247,10322714,Capita Software Support,Capita Business Services Limited,61263.15,19/02/2014,19/02/2014,18/02/2020,0
000-XJGQ2647,20114399,BECS Team Netsol,Team Netsol Ltd,11750,26/02/2016,26/02/2016,25/02/2020,12
000-EVJW9153,SXL 0216,Education & Office Furniture - SXL Framework 0216 - Call-Off,"Apleona HSG Limited (Previously Known as Bilfinger Europa Facility Management Limited),Azzurro Ltd,British Thornton ESF Limited,Claremont Office Furniture Ltd,Educational and Municipal Equipment Ltd t/a EME Furniture,EQUIP4WORK Ltd t/a Office Furniture Online,Findel Educational Supplies Limited,Furniture @ Work Ltd,Gopak Ltd,Langstane Press Limited,Sharp Business Systems UK plc,Sico Europe Limited,Spaceright Europe Limited,The Consortium Limited,Wagstaff School Furniture Limited,YPO,Wagstaff Bros. Limited",450000,09/05/2017,09/05/2017,29/02/2020,0
000-TRHM7124,SXL 0216  (TM 17684),Education & Office Furniture - SXL Framework 0216 - Call Off - Macduff Key Depot,Sharp Business Systems Uk Plc,12421.84,21/08/2018,09/05/2017,29/02/2020,0
000-VMDK1563,000-VMDK1563,"Supply, Installation & Maintenance of an Enclosed Combustion Biogas Flare at Crow's Nest Landfill Site, Banchory",Landfill Systems Maintenance Ltd,55000,01/12/2016,01/12/2016,01/03/2020,0
000-NCGA7777,itt 27479,NA706H20 (Meldrum Academy),Watermill Coaches Ltd,3700,14/12/2018,07/01/2019,03/03/2020,12
000-VYPV3246,itt27479,SA660B20 (Kintore Primary),AJS Contract Cars  Ltd,4497,14/12/2018,07/01/2019,03/03/2020,12
000-EQWM2245,000-EQWM2245,Environmental Health Consultancy 2017-20,WSP UK Limited,40000,01/03/2017,10/03/2017,09/03/2020,0
000-HCUB5738,SP-17-021,IT Peripherals - Scottish Procurement Framework SP-17-021 Call-off,Computacenter (UK) Limited,0,14/03/2018,14/03/2018,13/03/2020,0
000-FQJW4819,000-NEME4134,Loss Adjuster Fees,sedgwick International UK,10000,01/04/2019,01/04/2019,31/03/2020,0
000-NFAN8687,18348,Peterhead Buchan House - Extension,Robertson Construction Eastern Limited,1580270.28,18/07/2019,19/08/2019,31/03/2020,0
000-JKDX1851,615,Electrical Materials - SXL Framework 0615,"Rexel UK (T/A Parker Merchanting/Senate Electrical),City Electrical Factors Ltd,Edmundson Electrical (T/A Edmundson Walsall),Holland House Electrical Company Limited,Stax Trade Centres PLC T/A D F Wishart & Company Limited,Tristar Lighting & Design Ltd,Yesss (a) Electrical Ltd",426962.92,01/04/2016,01/04/2016,31/03/2020,0
000-BWBN2519,1002/ACE/301,WF Howes - Press Reader,WF Howes,7277,06/11/2018,01/12/2018,31/03/2020,12
000-DXFE8359,1002/ACE/301,CLONE -  Lot 3 - Framework Agreement for E-Magazines,W.F. Howes Limited,11194.98,01/04/2019,01/04/2019,31/03/2020,0
000-NNKX1962,1002/ACE/301,CLONE -  Lot 3 - Framework Agreement for E-Magazines,W.F. Howes Limited,11446,01/04/2019,01/04/2019,31/03/2020,0
000-GPGB1711,20024533,Licensing - GLAMIS Support and Maintenance,Northgate Information Solutions UK Limited,42500,01/04/2016,01/04/2016,31/03/2020,12
000-RLCD6155,(blank),Scottish Government Oracle ULA,The Scottish Government,450000,01/04/2016,01/04/2016,31/03/2020,0
000-UVYR7225,(blank),Business Objects Licences for Social Work,Influential Software Services Ltd,45763.38,01/04/2016,01/04/2016,31/03/2020,12
000-HVKV7376,20010482,Omega,Concept Informatics,69000,01/04/2016,01/04/2016,31/03/2020,0
000-FMMW3937,(blank),Real Time Electronic Screen Hardware and Software maintenance,21st Century Passenger Systems Ltd,172000,09/04/2018,01/04/2018,31/03/2020,0
000-YXNB4735,(blank),Franking Machine Lease and Meter Resets - WHH & GH,Pitney Bowes,77455.72,31/05/2018,01/04/2018,31/03/2020,0
000-PCGR4383,(blank),Provision of Out of Hours Call Services,NHS Grampian,20000,25/03/2019,01/04/2019,31/03/2020,0
000-NEME4134,850/ACG/400,Provision of Insurance Covers,Risk Management Partners Limited,0,01/04/2015,01/04/2015,31/03/2020,0
000-YNHG8127,(blank),Macduff & Inverurie Houses - Smart Solar & Storage (LCITP),IPower Energy Limited,40000,01/08/2019,(blank),01/04/2020,0
000-LCAY9465,(blank),Advertising and Public Information Notices,TMP Worldwide Ltd,1700000,01/11/2018,01/11/2018,17/04/2020,0
000-RCJH6688,20085408,Uniform (planning & building control),iDox Systems,155000,30/04/2013,01/04/2015,28/04/2020,12
000-AHTR4675,515,Groceries & Provisions - SXL Framework 0515 Call-off,"Bestway Wholesale Ltd T/a Batleys Foodservice,Brake Bros Ltd",6340000,01/05/2016,01/05/2016,30/04/2020,0
000-KEMW3877,000-KEMW3877,Apply4Homes - 2018-2020,Home Connections Lettings Limited,67150,05/06/2018,01/05/2018,30/04/2020,24
000-VQWD5517,(blank),Treatment of Co-Mingled Recycling,Enva Scotland Limited,2403430,08/04/2019,01/05/2019,30/04/2020,12
000-WDBK7439,Subscription Plan 342-96162812 Renewal date 09.05.19,AutoCAD Subscription Contract 2019/2020,Cadline Ltd,40595,25/04/2019,09/05/2019,08/05/2020,0
000-DDAB1927,Fraserburgh,Conservation Accredited Architectural Services,NB Planning and Architecture,0,30/10/2017,09/11/2017,09/05/2020,10
000-PJEP8345,SXL 0815,Domestic Furniture & Furnishings - Lot 1 New Furniture - SXL Framework 0815 - Call-Off,The Furnishing Service Ltd,2000000,13/05/2017,13/05/2017,12/05/2020,0
000-UEDF9143,20094334,Iken - Legal Case Management,Iken Business Limited,47500,01/04/2015,01/04/2015,21/05/2020,12
000-BUKH4529,(blank),Claim Control - Insurance Claims Management System,Alphatec,12564.5,31/05/2018,31/05/2018,30/05/2020,12
000-UQGF6385,(blank),Profile Security - Extension of Out of Hours Security Cover,Profile Security Ltd,150000,02/07/2018,31/05/2020,31/05/2020,0
000-UUWB4978,20111490,Covalent - Corporate Performance Management (CPM),Covalent Software Limited,34500,20/06/2015,20/06/2015,01/06/2020,12
000-YAQU4192,20102349,Depot Performance System,EP Morris,24000,11/11/2016,(blank),01/06/2020,0
000-WDFH9136,(blank),Treatment/Recycling of Rigid Plastics (1 Year Trial),Wood Recyclability Ltd,30000,03/06/2019,03/06/2019,02/06/2020,0
000-EAYM2356,000-HAKR2375,Supply of Horticultural and Ground Maintenance Materials,"Craigmarloch Nurseries Ltd,fergusons roses,J. A. Jones and Sons (Churchtown) Ltd.,Pentland Plants,Rigby Taylor Ltd,SCOTBARK,Terra Firma (Scotland) Limited",1145000,12/06/2017,12/06/2017,12/06/2020,24
000-PBFX4184,000-PBFX4184,1E NOMAD Peer to Peer Patch Management Software,Softcat Limited,97900,01/06/2018,01/06/2018,13/06/2020,24
000-HPBL7462,20008589,My Voice Solution,People Matters Network Ltd,22500,28/05/2014,28/05/2014,18/06/2020,0
000-QMPN6412,000-QMPN6412,SIP Trunks 2018,Gamma Telecom Ltd,25200,26/06/2018,26/06/2018,25/06/2020,12
000-YUFY4397,No,Aberdeen Football Club Community Trust (AFCCT) Health and Wellbeing PEF Initiative,AFCCT in conjunction with Schools PEF Funding,150000,14/06/2019,01/07/2019,29/06/2020,0
000-YWHC5885,(blank),World Book Online,JCS Online Resources Ltd,10519.2,18/04/2018,01/07/2018,30/06/2020,0
000-GCWE4956,920/ASF/400,Sheriff Officer Services,Stirling Park Llp,1200000,23/05/2016,01/07/2016,01/07/2020,24
000-CUNB2381,Jun321153,NA069G20 (Banff Academy),Portsoy Taxis Limited,11400,01/07/2019,21/08/2019,03/07/2020,24
000-RTEK9899,Jun321153,NA484H20 (Banff Primary),Portsoy Taxis Limited,11020,01/07/2019,21/08/2019,03/07/2020,24
000-BWHC5629,Jun321153,NA484i20 (Banff Primary),Portsoy Taxis Limited,9500,01/07/2019,21/08/2019,03/07/2020,12
000-YBTK6767,Jun321153,NA706K20 (meldrum Academy),Elmbank Taxis,10260,01/07/2019,21/08/2019,03/07/2020,24
000-KHGN2183,Jun321153,NA088A20 (Tweeddale Riding School),Central Taxis (North East) Ltd,2090,01/07/2019,21/08/2019,03/07/2020,24
000-LNGD6193,Jun321153,NA472A20 (New Deer School),Central Taxis (North East) Limited,380,01/07/2019,21/08/2019,03/07/2020,24
000-FBNG2226,Jun321153,NA632j20 (Ellon Academy),Central Taxis (North East) Limited,5700,01/07/2019,21/08/2019,03/07/2020,24
000-KMAX8543,JUN325513,"SA201A20 (Nescol, Aberdeen)",L&B Taxis,2280,01/07/2019,21/08/2019,03/07/2020,24
000-GRCN9517,Jun321153,SA024E20 (Kellands School),Alpha Taxis,3344,01/07/2019,21/08/2019,03/07/2020,24
000-KUGH9843,Jun321153,NA875G20 (Turriff Academy),Watermill Coaches Ltd,18050,01/07/2019,21/08/2019,03/07/2020,24
000-NHJK7525,Jun321153,NA082A20 (Turriff School),Watermill Coaches Ltd,18430,01/07/2019,21/08/2019,03/07/2020,24
000-LAWH5172,Jun321153,"SA201C20 (Nescol, Gallowgate)",Newmachar Coaches,2831,01/07/2019,21/08/2019,03/07/2020,24
000-FFFY9685,Jun321153,NA420i20 (Fraserburgh Academy),Classy Taxis Ltd,1216,01/07/2019,21/08/2019,03/07/2020,24
000-UTDJ5796,Jun321153,NA420H20 (Fraserburgh Academy),Classy Taxis Ltd,380,01/07/2019,21/08/2019,03/07/2020,24
